Legislation Number,Number of Cosponsors
H.R. 6348,1
H.R. 6347,1
H.R. 6335,4
H.R. 6330,6
H.R. 6287,50
H.R. 6227,36
H.R. 6217,6
H.R. 6216,6
H.R. 6167,17
H.R. 6160,1
H.R. 6157,0
H.R. 6124,6
H.R. 6116,12
H.R. 6059,8
H.R. 6042,3
H.R. 6020,12
H.R. 5956,1
H.R. 5935,17
H.R. 5923,0
H.R. 5895,0
H.R. 5868,14
H.R. 5792,6
H.R. 5791,6
H.R. 5787,3
H.R. 5784,7
H.R. 5772,0
H.R. 5759,20
H.R. 5737,17
H.R. 5729,3
H.R. 5636,1
H.R. 5554,5
H.R. 5515,1
H.R. 5509,7
H.R. 5504,9
H.R. 5475,7
H.R. 5412,25
H.R. 5395,25
H.R. 5385,75
H.R. 5349,8
H.R. 5317,5
H.R. 5238,58
H.R. 5205,3
H.R. 5075,4
H.R. 4960,7
H.R. 4958,5
H.R. 4946,50
H.R. 4921,2
H.R. 4913,7
H.R. 4910,11
H.R. 4890,7
H.R. 4854,15
H.R. 4851,27
H.R. 4840,26
H.R. 4819,41
H.R. 4743,11
H.R. 4722,27
H.R. 4708,3
H.R. 4689,0
H.R. 4685,1
H.R. 4661,8
H.R. 4646,6
H.R. 4645,0
H.R. 4641,0
H.R. 4574,17
H.R. 4547,75
H.R. 4533,5
H.R. 4528,0
H.R. 4463,29
H.R. 4431,12
H.R. 4407,17
H.R. 4406,26
H.R. 4374,0
H.R. 4326,17
H.R. 4318,30
H.R. 4301,6
H.R. 4300,90
H.R. 4285,11
H.R. 4254,7
H.R. 4227,12
H.R. 4174,3
H.R. 4111,1
H.R. 4042,26
H.R. 4032,5
H.R. 4009,2
H.R. 3996,2
H.R. 3979,17
H.R. 3949,6
H.R. 3946,13
H.R. 3893,26
H.R. 3834,33
H.R. 3823,2
H.R. 3821,13
H.R. 3819,2
H.R. 3759,113
H.R. 3732,0
H.R. 3731,15
H.R. 3663,2
H.R. 3656,1
H.R. 3655,11
H.R. 3638,26
H.R. 3562,3
H.R. 3460,11
H.R. 3445,8
H.R. 3398,5
H.R. 3383,3
H.R. 3369,12
H.R. 3364,5
H.R. 3359,11
H.R. 3342,26
H.R. 3298,128
H.R. 3249,2
H.R. 3243,3
H.R. 3230,3
H.R. 3218,121
H.R. 3210,1
H.R. 3184,10
H.R. 3183,10
H.R. 3122,6
H.R. 3110,29
H.R. 3109,18
H.R. 3031,8
H.R. 2989,18
H.R. 2979,50
H.R. 2873,17
H.R. 2815,11
H.R. 2810,1
H.R. 2772,2
H.R. 2673,17
H.R. 2672,17
H.R. 2615,0
H.R. 2611,3
H.R. 2606,3
H.R. 2519,385
H.R. 2464,8
H.R. 2454,1
H.R. 2430,3
H.R. 2422,83
H.R. 2353,40
H.R. 2345,115
H.R. 2333,2
H.R. 2331,2
H.R. 2302,11
H.R. 2292,9
H.R. 2288,26
H.R. 2266,8
H.R. 2259,62
H.R. 2254,49
H.R. 2229,1
H.R. 2228,32
H.R. 2210,17
H.R. 2200,29
H.R. 2154,0
H.R. 2147,53
H.R. 2142,18
H.R. 2122,1
H.R. 2061,16
H.R. 1988,46
H.R. 1927,72
H.R. 1918,25
H.R. 1900,19
H.R. 1892,16
H.R. 1872,55
H.R. 1865,174
H.R. 1861,294
