Legislation Number,Congress
H.R. 4197,113th Congress (2013-2014)
H.R. 4194,113th Congress (2013-2014)
H.R. 4193,113th Congress (2013-2014)
H.R. 4192,113th Congress (2013-2014)
H.R. 4189,113th Congress (2013-2014)
H.R. 4152,113th Congress (2013-2014)
H.R. 4120,113th Congress (2013-2014)
H.R. 4076,113th Congress (2013-2014)
H.R. 4067,113th Congress (2013-2014)
H.R. 4032,113th Congress (2013-2014)
H.R. 4030,113th Congress (2013-2014)
H.R. 4028,113th Congress (2013-2014)
H.R. 4007,113th Congress (2013-2014)
H.R. 3957,113th Congress (2013-2014)
H.R. 3771,113th Congress (2013-2014)
H.R. 3765,113th Congress (2013-2014)
H.R. 3716,113th Congress (2013-2014)
H.R. 3682,113th Congress (2013-2014)
H.R. 3658,113th Congress (2013-2014)
H.R. 3627,113th Congress (2013-2014)
H.R. 3626,113th Congress (2013-2014)
H.R. 3608,113th Congress (2013-2014)
H.R. 3588,113th Congress (2013-2014)
H.R. 3572,113th Congress (2013-2014)
H.R. 3548,113th Congress (2013-2014)
H.R. 3534,113th Congress (2013-2014)
H.R. 3527,113th Congress (2013-2014)
H.R. 3487,113th Congress (2013-2014)
H.R. 3472,113th Congress (2013-2014)
H.R. 3468,113th Congress (2013-2014)
H.R. 3458,113th Congress (2013-2014)
H.R. 3375,113th Congress (2013-2014)
H.R. 3374,113th Congress (2013-2014)
H.R. 3370,113th Congress (2013-2014)
H.R. 3343,113th Congress (2013-2014)
H.R. 3329,113th Congress (2013-2014)
H.R. 3304,113th Congress (2013-2014)
H.R. 3302,113th Congress (2013-2014)
H.R. 3233,113th Congress (2013-2014)
H.R. 3230,113th Congress (2013-2014)
H.R. 3212,113th Congress (2013-2014)
H.R. 3210,113th Congress (2013-2014)
H.R. 3204,113th Congress (2013-2014)
H.R. 3190,113th Congress (2013-2014)
H.R. 3110,113th Congress (2013-2014)
H.R. 3096,113th Congress (2013-2014)
H.R. 3095,113th Congress (2013-2014)
H.R. 3092,113th Congress (2013-2014)
H.R. 3085,113th Congress (2013-2014)
H.R. 3080,113th Congress (2013-2014)
H.R. 3060,113th Congress (2013-2014)
H.R. 3044,113th Congress (2013-2014)
H.R. 3043,113th Congress (2013-2014)
H.R. 3027,113th Congress (2013-2014)
H.R. 2952,113th Congress (2013-2014)
H.R. 2939,113th Congress (2013-2014)
H.R. 2922,113th Congress (2013-2014)
H.R. 2901,113th Congress (2013-2014)
H.R. 2871,113th Congress (2013-2014)
H.R. 2860,113th Congress (2013-2014)
H.R. 2775,113th Congress (2013-2014)
H.R. 2754,113th Congress (2013-2014)
H.R. 2747,113th Congress (2013-2014)
H.R. 2719,113th Congress (2013-2014)
H.R. 2678,113th Congress (2013-2014)
H.R. 2650,113th Congress (2013-2014)
H.R. 2642,113th Congress (2013-2014)
H.R. 2640,113th Congress (2013-2014)
H.R. 2611,113th Congress (2013-2014)
H.R. 2600,113th Congress (2013-2014)
H.R. 2591,113th Congress (2013-2014)
H.R. 2576,113th Congress (2013-2014)
H.R. 2431,113th Congress (2013-2014)
H.R. 2391,113th Congress (2013-2014)
H.R. 2388,113th Congress (2013-2014)
H.R. 2383,113th Congress (2013-2014)
H.R. 2366,113th Congress (2013-2014)
H.R. 2337,113th Congress (2013-2014)
H.R. 2319,113th Congress (2013-2014)
H.R. 2291,113th Congress (2013-2014)
H.R. 2289,113th Congress (2013-2014)
H.R. 2251,113th Congress (2013-2014)
H.R. 2223,113th Congress (2013-2014)
H.R. 2203,113th Congress (2013-2014)
H.R. 2167,113th Congress (2013-2014)
H.R. 2112,113th Congress (2013-2014)
H.R. 2094,113th Congress (2013-2014)
H.R. 2019,113th Congress (2013-2014)
H.R. 1911,113th Congress (2013-2014)
H.R. 1848,113th Congress (2013-2014)
H.R. 1813,113th Congress (2013-2014)
H.R. 1765,113th Congress (2013-2014)
H.R. 1726,113th Congress (2013-2014)
H.R. 1707,113th Congress (2013-2014)
H.R. 1671,113th Congress (2013-2014)
H.R. 1528,113th Congress (2013-2014)
H.R. 1451,113th Congress (2013-2014)
H.R. 1447,113th Congress (2013-2014)
H.R. 1412,113th Congress (2013-2014)
H.R. 1402,113th Congress (2013-2014)
H.R. 1391,113th Congress (2013-2014)
H.R. 1378,113th Congress (2013-2014)
H.R. 1376,113th Congress (2013-2014)
H.R. 1344,113th Congress (2013-2014)
H.R. 1281,113th Congress (2013-2014)
H.R. 1246,113th Congress (2013-2014)
H.R. 1233,113th Congress (2013-2014)
H.R. 1228,113th Congress (2013-2014)
H.R. 1216,113th Congress (2013-2014)
H.R. 1209,113th Congress (2013-2014)
H.R. 1206,113th Congress (2013-2014)
H.R. 1204,113th Congress (2013-2014)
H.R. 1171,113th Congress (2013-2014)
H.R. 1158,113th Congress (2013-2014)
H.R. 1151,113th Congress (2013-2014)
H.R. 1092,113th Congress (2013-2014)
H.R. 1071,113th Congress (2013-2014)
H.R. 1068,113th Congress (2013-2014)
H.R. 1067,113th Congress (2013-2014)
H.R. 1036,113th Congress (2013-2014)
H.R. 933,113th Congress (2013-2014)
H.R. 876,113th Congress (2013-2014)
H.R. 862,113th Congress (2013-2014)
H.R. 803,113th Congress (2013-2014)
H.R. 767,113th Congress (2013-2014)
H.R. 724,113th Congress (2013-2014)
H.R. 697,113th Congress (2013-2014)
H.R. 685,113th Congress (2013-2014)
H.R. 678,113th Congress (2013-2014)
H.R. 669,113th Congress (2013-2014)
H.R. 667,113th Congress (2013-2014)
H.R. 623,113th Congress (2013-2014)
H.R. 606,113th Congress (2013-2014)
H.R. 594,113th Congress (2013-2014)
H.R. 588,113th Congress (2013-2014)
H.R. 527,113th Congress (2013-2014)
H.R. 507,113th Congress (2013-2014)
H.R. 475,113th Congress (2013-2014)
H.R. 451,113th Congress (2013-2014)
H.R. 360,113th Congress (2013-2014)
H.R. 356,113th Congress (2013-2014)
H.R. 330,113th Congress (2013-2014)
H.R. 325,113th Congress (2013-2014)
H.R. 324,113th Congress (2013-2014)
H.R. 316,113th Congress (2013-2014)
H.R. 307,113th Congress (2013-2014)
H.R. 291,113th Congress (2013-2014)
H.R. 272,113th Congress (2013-2014)
H.R. 267,113th Congress (2013-2014)
H.R. 258,113th Congress (2013-2014)
H.R. 255,113th Congress (2013-2014)
H.R. 254,113th Congress (2013-2014)
H.R. 251,113th Congress (2013-2014)
H.R. 185,113th Congress (2013-2014)
H.R. 152,113th Congress (2013-2014)
H.R. 83,113th Congress (2013-2014)
H.R. 78,113th Congress (2013-2014)
H.R. 43,113th Congress (2013-2014)
H.R. 41,113th Congress (2013-2014)
H.J.Res. 131,113th Congress (2013-2014)
H.J.Res. 130,113th Congress (2013-2014)
H.J.Res. 129,113th Congress (2013-2014)
H.J.Res. 124,113th Congress (2013-2014)
H.J.Res. 120,113th Congress (2013-2014)
H.J.Res. 106,113th Congress (2013-2014)
H.J.Res. 105,113th Congress (2013-2014)
H.J.Res. 91,113th Congress (2013-2014)
H.J.Res. 76,113th Congress (2013-2014)
H.J.Res. 59,113th Congress (2013-2014)
S. 3008,113th Congress (2013-2014)
S. 2921,113th Congress (2013-2014)
S. 2917,113th Congress (2013-2014)
S. 2759,113th Congress (2013-2014)
S. 2673,113th Congress (2013-2014)
S. 2651,113th Congress (2013-2014)
S. 2583,113th Congress (2013-2014)
S. 2539,113th Congress (2013-2014)
S. 2521,113th Congress (2013-2014)
S. 2519,113th Congress (2013-2014)
S. 2338,113th Congress (2013-2014)
S. 2270,113th Congress (2013-2014)
S. 2258,113th Congress (2013-2014)
S. 2195,113th Congress (2013-2014)
S. 2183,113th Congress (2013-2014)
S. 2154,113th Congress (2013-2014)
S. 2142,113th Congress (2013-2014)
S. 2141,113th Congress (2013-2014)
S. 2086,113th Congress (2013-2014)
S. 2040,113th Congress (2013-2014)
S. 1934,113th Congress (2013-2014)
S. 1901,113th Congress (2013-2014)
S. 1799,113th Congress (2013-2014)
S. 1691,113th Congress (2013-2014)
S. 1683,113th Congress (2013-2014)
S. 1681,113th Congress (2013-2014)
S. 1614,113th Congress (2013-2014)
S. 1603,113th Congress (2013-2014)
S. 1557,113th Congress (2013-2014)
S. 1545,113th Congress (2013-2014)
S. 1512,113th Congress (2013-2014)
S. 1499,113th Congress (2013-2014)
S. 1474,113th Congress (2013-2014)
S. 1471,113th Congress (2013-2014)
S. 1434,113th Congress (2013-2014)
S. 1353,113th Congress (2013-2014)
S. 1348,113th Congress (2013-2014)
S. 1254,113th Congress (2013-2014)
S. 1104,113th Congress (2013-2014)
S. 1093,113th Congress (2013-2014)
S. 1086,113th Congress (2013-2014)
S. 1044,113th Congress (2013-2014)
S. 1000,113th Congress (2013-2014)
S. 994,113th Congress (2013-2014)
S. 982,113th Congress (2013-2014)
S. 898,113th Congress (2013-2014)
S. 893,113th Congress (2013-2014)
S. 885,113th Congress (2013-2014)
S. 793,113th Congress (2013-2014)
S. 716,113th Congress (2013-2014)
S. 653,113th Congress (2013-2014)
S. 622,113th Congress (2013-2014)
S. 611,113th Congress (2013-2014)
S. 540,113th Congress (2013-2014)
S. 517,113th Congress (2013-2014)
S. 476,113th Congress (2013-2014)
S. 459,113th Congress (2013-2014)
S. 404,113th Congress (2013-2014)
S. 330,113th Congress (2013-2014)
S. 309,113th Congress (2013-2014)
S. 304,113th Congress (2013-2014)
S. 276,113th Congress (2013-2014)
S. 256,113th Congress (2013-2014)
S. 252,113th Congress (2013-2014)
S. 231,113th Congress (2013-2014)
S. 230,113th Congress (2013-2014)
S. 229,113th Congress (2013-2014)
S. 157,113th Congress (2013-2014)
S. 130,113th Congress (2013-2014)
S. 47,113th Congress (2013-2014)
S. 25,113th Congress (2013-2014)
S. 23,113th Congress (2013-2014)
S.J.Res. 40,113th Congress (2013-2014)
S.J.Res. 32,113th Congress (2013-2014)
S.J.Res. 29,113th Congress (2013-2014)
S.J.Res. 28,113th Congress (2013-2014)
H.R. 6671,112th Congress (2011-2012)
H.R. 6655,112th Congress (2011-2012)
H.R. 6634,112th Congress (2011-2012)
H.R. 6621,112th Congress (2011-2012)
H.R. 6620,112th Congress (2011-2012)
H.R. 6587,112th Congress (2011-2012)
H.R. 6586,112th Congress (2011-2012)
H.R. 6582,112th Congress (2011-2012)
H.R. 6570,112th Congress (2011-2012)
H.R. 6433,112th Congress (2011-2012)
H.R. 6431,112th Congress (2011-2012)
H.R. 6379,112th Congress (2011-2012)
H.R. 6375,112th Congress (2011-2012)
H.R. 6364,112th Congress (2011-2012)
H.R. 6336,112th Congress (2011-2012)
H.R. 6328,112th Congress (2011-2012)
H.R. 6260,112th Congress (2011-2012)
H.R. 6223,112th Congress (2011-2012)
H.R. 6215,112th Congress (2011-2012)
H.R. 6189,112th Congress (2011-2012)
H.R. 6156,112th Congress (2011-2012)
H.R. 6131,112th Congress (2011-2012)
H.R. 6118,112th Congress (2011-2012)
H.R. 6116,112th Congress (2011-2012)
H.R. 6064,112th Congress (2011-2012)
H.R. 6063,112th Congress (2011-2012)
H.R. 6060,112th Congress (2011-2012)
H.R. 6029,112th Congress (2011-2012)
H.R. 6014,112th Congress (2011-2012)
H.R. 5986,112th Congress (2011-2012)
H.R. 5954,112th Congress (2011-2012)
H.R. 5949,112th Congress (2011-2012)
H.R. 5890,112th Congress (2011-2012)
H.R. 5883,112th Congress (2011-2012)
H.R. 5872,112th Congress (2011-2012)
H.R. 5859,112th Congress (2011-2012)
H.R. 5837,112th Congress (2011-2012)
H.R. 5740,112th Congress (2011-2012)
H.R. 5738,112th Congress (2011-2012)
H.R. 5512,112th Congress (2011-2012)
H.R. 4967,112th Congress (2011-2012)
H.R. 4849,112th Congress (2011-2012)
H.R. 4606,112th Congress (2011-2012)
H.R. 4389,112th Congress (2011-2012)
H.R. 4367,112th Congress (2011-2012)
H.R. 4365,112th Congress (2011-2012)
H.R. 4348,112th Congress (2011-2012)
H.R. 4347,112th Congress (2011-2012)
H.R. 4310,112th Congress (2011-2012)
H.R. 4281,112th Congress (2011-2012)
H.R. 4240,112th Congress (2011-2012)
H.R. 4223,112th Congress (2011-2012)
H.R. 4212,112th Congress (2011-2012)
H.R. 4158,112th Congress (2011-2012)
H.R. 4155,112th Congress (2011-2012)
H.R. 4119,112th Congress (2011-2012)
H.R. 4114,112th Congress (2011-2012)
H.R. 4105,112th Congress (2011-2012)
H.R. 4097,112th Congress (2011-2012)
H.R. 4073,112th Congress (2011-2012)
H.R. 4057,112th Congress (2011-2012)
H.R. 4053,112th Congress (2011-2012)
H.R. 4045,112th Congress (2011-2012)
H.R. 4014,112th Congress (2011-2012)
H.R. 3992,112th Congress (2011-2012)
H.R. 3912,112th Congress (2011-2012)
H.R. 3902,112th Congress (2011-2012)
H.R. 3892,112th Congress (2011-2012)
H.R. 3870,112th Congress (2011-2012)
H.R. 3869,112th Congress (2011-2012)
H.R. 3801,112th Congress (2011-2012)
H.R. 3800,112th Congress (2011-2012)
H.R. 3783,112th Congress (2011-2012)
H.R. 3772,112th Congress (2011-2012)
H.R. 3765,112th Congress (2011-2012)
H.R. 3672,112th Congress (2011-2012)
H.R. 3670,112th Congress (2011-2012)
H.R. 3641,112th Congress (2011-2012)
H.R. 3630,112th Congress (2011-2012)
H.R. 3606,112th Congress (2011-2012)
H.R. 3556,112th Congress (2011-2012)
H.R. 3501,112th Congress (2011-2012)
H.R. 3477,112th Congress (2011-2012)
H.R. 3421,112th Congress (2011-2012)
H.R. 3413,112th Congress (2011-2012)
H.R. 3412,112th Congress (2011-2012)
H.R. 3321,112th Congress (2011-2012)
H.R. 3319,112th Congress (2011-2012)
H.R. 3276,112th Congress (2011-2012)
H.R. 3263,112th Congress (2011-2012)
H.R. 3248,112th Congress (2011-2012)
H.R. 3247,112th Congress (2011-2012)
H.R. 3246,112th Congress (2011-2012)
H.R. 3237,112th Congress (2011-2012)
H.R. 3220,112th Congress (2011-2012)
H.R. 3187,112th Congress (2011-2012)
H.R. 3080,112th Congress (2011-2012)
H.R. 3079,112th Congress (2011-2012)
H.R. 3078,112th Congress (2011-2012)
H.R. 3004,112th Congress (2011-2012)
H.R. 3001,112th Congress (2011-2012)
H.R. 2947,112th Congress (2011-2012)
H.R. 2944,112th Congress (2011-2012)
H.R. 2943,112th Congress (2011-2012)
H.R. 2887,112th Congress (2011-2012)
H.R. 2883,112th Congress (2011-2012)
H.R. 2867,112th Congress (2011-2012)
H.R. 2845,112th Congress (2011-2012)
H.R. 2838,112th Congress (2011-2012)
H.R. 2832,112th Congress (2011-2012)
H.R. 2767,112th Congress (2011-2012)
H.R. 2715,112th Congress (2011-2012)
H.R. 2706,112th Congress (2011-2012)
H.R. 2668,112th Congress (2011-2012)
H.R. 2660,112th Congress (2011-2012)
H.R. 2646,112th Congress (2011-2012)
H.R. 2608,112th Congress (2011-2012)
H.R. 2606,112th Congress (2011-2012)
H.R. 2553,112th Congress (2011-2012)
H.R. 2527,112th Congress (2011-2012)
H.R. 2467,112th Congress (2011-2012)
H.R. 2453,112th Congress (2011-2012)
H.R. 2447,112th Congress (2011-2012)
H.R. 2422,112th Congress (2011-2012)
H.R. 2415,112th Congress (2011-2012)
H.R. 2338,112th Congress (2011-2012)
H.R. 2297,112th Congress (2011-2012)
H.R. 2279,112th Congress (2011-2012)
H.R. 2244,112th Congress (2011-2012)
H.R. 2240,112th Congress (2011-2012)
H.R. 2213,112th Congress (2011-2012)
H.R. 2192,112th Congress (2011-2012)
H.R. 2149,112th Congress (2011-2012)
H.R. 2139,112th Congress (2011-2012)
H.R. 2112,112th Congress (2011-2012)
H.R. 2079,112th Congress (2011-2012)
H.R. 2076,112th Congress (2011-2012)
H.R. 2072,112th Congress (2011-2012)
H.R. 2062,112th Congress (2011-2012)
H.R. 2061,112th Congress (2011-2012)
H.R. 2056,112th Congress (2011-2012)
H.R. 2055,112th Congress (2011-2012)
H.R. 2017,112th Congress (2011-2012)
H.R. 2005,112th Congress (2011-2012)
H.R. 1975,112th Congress (2011-2012)
H.R. 1905,112th Congress (2011-2012)
H.R. 1893,112th Congress (2011-2012)
H.R. 1892,112th Congress (2011-2012)
H.R. 1845,112th Congress (2011-2012)
H.R. 1843,112th Congress (2011-2012)
H.R. 1801,112th Congress (2011-2012)
H.R. 1791,112th Congress (2011-2012)
H.R. 1632,112th Congress (2011-2012)
H.R. 1627,112th Congress (2011-2012)
H.R. 1560,112th Congress (2011-2012)
H.R. 1540,112th Congress (2011-2012)
H.R. 1473,112th Congress (2011-2012)
H.R. 1464,112th Congress (2011-2012)
H.R. 1423,112th Congress (2011-2012)
H.R. 1402,112th Congress (2011-2012)
H.R. 1383,112th Congress (2011-2012)
H.R. 1369,112th Congress (2011-2012)
H.R. 1363,112th Congress (2011-2012)
H.R. 1339,112th Congress (2011-2012)
H.R. 1308,112th Congress (2011-2012)
H.R. 1272,112th Congress (2011-2012)
H.R. 1264,112th Congress (2011-2012)
H.R. 1249,112th Congress (2011-2012)
H.R. 1162,112th Congress (2011-2012)
H.R. 1079,112th Congress (2011-2012)
H.R. 1059,112th Congress (2011-2012)
H.R. 915,112th Congress (2011-2012)
H.R. 886,112th Congress (2011-2012)
H.R. 818,112th Congress (2011-2012)
H.R. 793,112th Congress (2011-2012)
H.R. 789,112th Congress (2011-2012)
H.R. 771,112th Congress (2011-2012)
H.R. 765,112th Congress (2011-2012)
H.R. 754,112th Congress (2011-2012)
H.R. 674,112th Congress (2011-2012)
H.R. 662,112th Congress (2011-2012)
H.R. 658,112th Congress (2011-2012)
H.R. 588,112th Congress (2011-2012)
H.R. 515,112th Congress (2011-2012)
H.R. 514,112th Congress (2011-2012)
H.R. 489,112th Congress (2011-2012)
H.R. 473,112th Congress (2011-2012)
H.R. 470,112th Congress (2011-2012)
H.R. 443,112th Congress (2011-2012)
H.R. 398,112th Congress (2011-2012)
H.R. 394,112th Congress (2011-2012)
H.R. 368,112th Congress (2011-2012)
H.R. 366,112th Congress (2011-2012)
H.R. 347,112th Congress (2011-2012)
H.R. 298,112th Congress (2011-2012)
H.R. 205,112th Congress (2011-2012)
H.R. 33,112th Congress (2011-2012)
H.R. 8,112th Congress (2011-2012)
H.R. 4,112th Congress (2011-2012)
H.J.Res. 122,112th Congress (2011-2012)
H.J.Res. 117,112th Congress (2011-2012)
H.J.Res. 95,112th Congress (2011-2012)
H.J.Res. 94,112th Congress (2011-2012)
H.J.Res. 48,112th Congress (2011-2012)
H.J.Res. 44,112th Congress (2011-2012)
S. 3687,112th Congress (2011-2012)
S. 3677,112th Congress (2011-2012)
S. 3666,112th Congress (2011-2012)
S. 3662,112th Congress (2011-2012)
S. 3642,112th Congress (2011-2012)
S. 3630,112th Congress (2011-2012)
S. 3625,112th Congress (2011-2012)
S. 3624,112th Congress (2011-2012)
S. 3564,112th Congress (2011-2012)
S. 3552,112th Congress (2011-2012)
S. 3542,112th Congress (2011-2012)
S. 3510,112th Congress (2011-2012)
S. 3486,112th Congress (2011-2012)
S. 3472,112th Congress (2011-2012)
S. 3454,112th Congress (2011-2012)
S. 3363,112th Congress (2011-2012)
S. 3331,112th Congress (2011-2012)
S. 3315,112th Congress (2011-2012)
S. 3311,112th Congress (2011-2012)
S. 3261,112th Congress (2011-2012)
S. 3245,112th Congress (2011-2012)
S. 3202,112th Congress (2011-2012)
S. 3193,112th Congress (2011-2012)
S. 3187,112th Congress (2011-2012)
S. 2367,112th Congress (2011-2012)
S. 2318,112th Congress (2011-2012)
S. 2170,112th Congress (2011-2012)
S. 2165,112th Congress (2011-2012)
S. 2061,112th Congress (2011-2012)
S. 2038,112th Congress (2011-2012)
S. 2009,112th Congress (2011-2012)
S. 1998,112th Congress (2011-2012)
S. 1959,112th Congress (2011-2012)
S. 1956,112th Congress (2011-2012)
S. 1710,112th Congress (2011-2012)
S. 1639,112th Congress (2011-2012)
S. 1637,112th Congress (2011-2012)
S. 1541,112th Congress (2011-2012)
S. 1487,112th Congress (2011-2012)
S. 1412,112th Congress (2011-2012)
S. 1379,112th Congress (2011-2012)
S. 1335,112th Congress (2011-2012)
S. 1302,112th Congress (2011-2012)
S. 1280,112th Congress (2011-2012)
S. 1134,112th Congress (2011-2012)
S. 1103,112th Congress (2011-2012)
S. 1082,112th Congress (2011-2012)
S. 997,112th Congress (2011-2012)
S. 990,112th Congress (2011-2012)
S. 925,112th Congress (2011-2012)
S. 894,112th Congress (2011-2012)
S. 846,112th Congress (2011-2012)
S. 743,112th Congress (2011-2012)
S. 739,112th Congress (2011-2012)
S. 710,112th Congress (2011-2012)
S. 684,112th Congress (2011-2012)
S. 683,112th Congress (2011-2012)
S. 679,112th Congress (2011-2012)
S. 655,112th Congress (2011-2012)
S. 535,112th Congress (2011-2012)
S. 404,112th Congress (2011-2012)
S. 384,112th Congress (2011-2012)
S. 365,112th Congress (2011-2012)
S. 363,112th Congress (2011-2012)
S. 349,112th Congress (2011-2012)
S. 307,112th Congress (2011-2012)
S. 300,112th Congress (2011-2012)
S. 292,112th Congress (2011-2012)
S. 285,112th Congress (2011-2012)
S. 278,112th Congress (2011-2012)
S. 271,112th Congress (2011-2012)
S. 270,112th Congress (2011-2012)
S. 188,112th Congress (2011-2012)
S.J.Res. 49,112th Congress (2011-2012)
S.J.Res. 44,112th Congress (2011-2012)
S.J.Res. 22,112th Congress (2011-2012)
S.J.Res. 9,112th Congress (2011-2012)
S.J.Res. 8,112th Congress (2011-2012)
S.J.Res. 7,112th Congress (2011-2012)
H.R. 6533,111th Congress (2009-2010)
H.R. 6523,111th Congress (2009-2010)
H.R. 6517,111th Congress (2009-2010)
H.R. 6516,111th Congress (2009-2010)
H.R. 6510,111th Congress (2009-2010)
H.R. 6473,111th Congress (2009-2010)
H.R. 6412,111th Congress (2009-2010)
H.R. 6400,111th Congress (2009-2010)
H.R. 6399,111th Congress (2009-2010)
H.R. 6398,111th Congress (2009-2010)
H.R. 6392,111th Congress (2009-2010)
H.R. 6387,111th Congress (2009-2010)
H.R. 6278,111th Congress (2009-2010)
H.R. 6237,111th Congress (2009-2010)
H.R. 6200,111th Congress (2009-2010)
H.R. 6198,111th Congress (2009-2010)
H.R. 6190,111th Congress (2009-2010)
H.R. 6184,111th Congress (2009-2010)
H.R. 6166,111th Congress (2009-2010)
H.R. 6162,111th Congress (2009-2010)
H.R. 6118,111th Congress (2009-2010)
H.R. 6102,111th Congress (2009-2010)
H.R. 6080,111th Congress (2009-2010)
H.R. 5981,111th Congress (2009-2010)
H.R. 5901,111th Congress (2009-2010)
H.R. 5900,111th Congress (2009-2010)
H.R. 5877,111th Congress (2009-2010)
H.R. 5874,111th Congress (2009-2010)
H.R. 5872,111th Congress (2009-2010)
H.R. 5849,111th Congress (2009-2010)
H.R. 5809,111th Congress (2009-2010)
H.R. 5773,111th Congress (2009-2010)
H.R. 5758,111th Congress (2009-2010)
H.R. 5712,111th Congress (2009-2010)
H.R. 5706,111th Congress (2009-2010)
H.R. 5682,111th Congress (2009-2010)
H.R. 5655,111th Congress (2009-2010)
H.R. 5651,111th Congress (2009-2010)
H.R. 5623,111th Congress (2009-2010)
H.R. 5611,111th Congress (2009-2010)
H.R. 5610,111th Congress (2009-2010)
H.R. 5606,111th Congress (2009-2010)
H.R. 5605,111th Congress (2009-2010)
H.R. 5591,111th Congress (2009-2010)
H.R. 5569,111th Congress (2009-2010)
H.R. 5566,111th Congress (2009-2010)
H.R. 5552,111th Congress (2009-2010)
H.R. 5502,111th Congress (2009-2010)
H.R. 5470,111th Congress (2009-2010)
H.R. 5450,111th Congress (2009-2010)
H.R. 5395,111th Congress (2009-2010)
H.R. 5390,111th Congress (2009-2010)
H.R. 5341,111th Congress (2009-2010)
H.R. 5330,111th Congress (2009-2010)
H.R. 5297,111th Congress (2009-2010)
H.R. 5283,111th Congress (2009-2010)
H.R. 5278,111th Congress (2009-2010)
H.R. 5160,111th Congress (2009-2010)
H.R. 5148,111th Congress (2009-2010)
H.R. 5147,111th Congress (2009-2010)
H.R. 5146,111th Congress (2009-2010)
H.R. 5139,111th Congress (2009-2010)
H.R. 5133,111th Congress (2009-2010)
H.R. 5128,111th Congress (2009-2010)
H.R. 5116,111th Congress (2009-2010)
H.R. 5099,111th Congress (2009-2010)
H.R. 5051,111th Congress (2009-2010)
H.R. 5014,111th Congress (2009-2010)
H.R. 4994,111th Congress (2009-2010)
H.R. 4973,111th Congress (2009-2010)
H.R. 4957,111th Congress (2009-2010)
H.R. 4938,111th Congress (2009-2010)
H.R. 4899,111th Congress (2009-2010)
H.R. 4887,111th Congress (2009-2010)
H.R. 4872,111th Congress (2009-2010)
H.R. 4861,111th Congress (2009-2010)
H.R. 4853,111th Congress (2009-2010)
H.R. 4851,111th Congress (2009-2010)
H.R. 4840,111th Congress (2009-2010)
H.R. 4783,111th Congress (2009-2010)
H.R. 4748,111th Congress (2009-2010)
H.R. 4691,111th Congress (2009-2010)
H.R. 4684,111th Congress (2009-2010)
H.R. 4667,111th Congress (2009-2010)
H.R. 4628,111th Congress (2009-2010)
H.R. 4621,111th Congress (2009-2010)
H.R. 4602,111th Congress (2009-2010)
H.R. 4573,111th Congress (2009-2010)
H.R. 4547,111th Congress (2009-2010)
H.R. 4543,111th Congress (2009-2010)
H.R. 4532,111th Congress (2009-2010)
H.R. 4508,111th Congress (2009-2010)
H.R. 4505,111th Congress (2009-2010)
H.R. 4462,111th Congress (2009-2010)
H.R. 4445,111th Congress (2009-2010)
H.R. 4425,111th Congress (2009-2010)
H.R. 4387,111th Congress (2009-2010)
H.R. 4380,111th Congress (2009-2010)
H.R. 4360,111th Congress (2009-2010)
H.R. 4337,111th Congress (2009-2010)
H.R. 4314,111th Congress (2009-2010)
H.R. 4284,111th Congress (2009-2010)
H.R. 4275,111th Congress (2009-2010)
H.R. 4238,111th Congress (2009-2010)
H.R. 4218,111th Congress (2009-2010)
H.R. 4217,111th Congress (2009-2010)
H.R. 4214,111th Congress (2009-2010)
H.R. 4213,111th Congress (2009-2010)
H.R. 4173,111th Congress (2009-2010)
H.R. 4165,111th Congress (2009-2010)
H.R. 4139,111th Congress (2009-2010)
H.R. 4095,111th Congress (2009-2010)
H.R. 4017,111th Congress (2009-2010)
H.R. 3980,111th Congress (2009-2010)
H.R. 3978,111th Congress (2009-2010)
H.R. 3962,111th Congress (2009-2010)
H.R. 3961,111th Congress (2009-2010)
H.R. 3951,111th Congress (2009-2010)
H.R. 3940,111th Congress (2009-2010)
H.R. 3892,111th Congress (2009-2010)
H.R. 3819,111th Congress (2009-2010)
H.R. 3788,111th Congress (2009-2010)
H.R. 3767,111th Congress (2009-2010)
H.R. 3714,111th Congress (2009-2010)
H.R. 3689,111th Congress (2009-2010)
H.R. 3667,111th Congress (2009-2010)
H.R. 3663,111th Congress (2009-2010)
H.R. 3634,111th Congress (2009-2010)
H.R. 3619,111th Congress (2009-2010)
H.R. 3614,111th Congress (2009-2010)
H.R. 3607,111th Congress (2009-2010)
H.R. 3606,111th Congress (2009-2010)
H.R. 3593,111th Congress (2009-2010)
H.R. 3590,111th Congress (2009-2010)
H.R. 3562,111th Congress (2009-2010)
H.R. 3553,111th Congress (2009-2010)
H.R. 3548,111th Congress (2009-2010)
H.R. 3547,111th Congress (2009-2010)
H.R. 3539,111th Congress (2009-2010)
H.R. 3509,111th Congress (2009-2010)
H.R. 3435,111th Congress (2009-2010)
H.R. 3433,111th Congress (2009-2010)
H.R. 3386,111th Congress (2009-2010)
H.R. 3360,111th Congress (2009-2010)
H.R. 3357,111th Congress (2009-2010)
H.R. 3326,111th Congress (2009-2010)
H.R. 3325,111th Congress (2009-2010)
H.R. 3319,111th Congress (2009-2010)
H.R. 3288,111th Congress (2009-2010)
H.R. 3250,111th Congress (2009-2010)
H.R. 3237,111th Congress (2009-2010)
H.R. 3219,111th Congress (2009-2010)
H.R. 3183,111th Congress (2009-2010)
H.R. 3119,111th Congress (2009-2010)
